komentar,label
Yg nonton ini setelah di vaksin dan malamnya panas dingin kita satu vaksin,0
Belum menemukan komen yg sifatnya positif (setelah vaksin jadi kuat),1
"Saya sdh 3 hari 3 mlm demam usai divacin kok kau blg cm beberapa jam saja, mengada ngada kau",0
"suamiku demamnya dah 3 malam lom berhenti"" setelah di paksin ,  dan anehnya demamnya cuma malam hari aja .....",1
"Kirain gw stlh dvaksin badan jd strong kebal trhadap penyakit,ini malah kpala jd pusing meriang pegel2 gk ilang2,vaksin macam apa ini orang tdinya sehat jd sakit ksononya mampus",1
Setelah vaksin sy malah positif covid... T.T,0
"Orang² vaksin ko pada nafsu makan, gua malah ga nafsu😭",0
Saya nyeri otot Tangan kanan/kiri setelah vaksin. Sampai semingguan,0
Trnyata nyeri smpk demam dan loyo yg saya rasakan. Stlh itu kmbli normal. 3 smpk 4 harian,1
Saya abis vaksin cuma kepala ngantuk berat ditidurin bangun langsung seger😀,0
Saya baru 3 Minggu suntik paksin pinggang saya sakit,1
"Saya hbs vaksin 2 hari stlah vaksin lgsg demam panas,pusing, nyeri, sakit semua badan, lemas, dan mual.. uda 3 hari ini :(. Jd g kerja kl skit bgini...",0
"Saya alhamdulillah cuma  lemas selama 3 hari pasca vaksin pertama 28 hari yg lalu, semoga yg kedua besok juga cuma lemas aamiin",1
"Klo orng yg .seblmnya tidak, tau tentang riwayat penyakit nya..tpi yg sering di rasakn .sakit kepala,enta sakit medis,ato bnyak terlalu banyak pikiran . Apak bisa di vaksin?",1
Kalo sakit nya sampe berhari2 kenape ye?,1
"Ternyata emang efek sampingnya. Kemaren habis vaksin. Malamnya sekitar 8 jam lebih stelah vaksin gejala mulai. Dan agak lama semakin parah. Dan sekarang udah agak mendingan walaupun masih demam, pusing, lemes. Tp kemaren ortu habis vaksin gk ada gejala sama sekali",0
Saya habis vaksin langsung panas dingin selama3 hari dan badan lemah sampai dah satu Minggu STLH vaksin blm napsu makan,0
Saya udah mau 2 hari ni ngilu2 dan demam lokasi batam,0
ada yg udh sembuh setelah demam2 ??sembuh nya pke obt apa ?,1
"Abis paksin deman dan meriang pala gw berat bgt dan sakit
Moga2 besok sembuh aamiin",1
Setelah vaksin aku nyapu nyapu dan nguras kolam.. sorenya aku pusing dan demam😂😂 g tau kalo disuruh istirahat setelah vaksin,0
demam nya berapa hari yaa normal setelah vaksin? ayah saya baru mengalami nya,0
Swami saya vaksin seminggu yg lali sampai sekarang msh demam n badan ga enak...,1
Sy sdh vaksin 1 minggu tulang d punggung msh skt n sblmny demam,0
Aku lagi ngrasain panas dingin flu jg badan ngilu semua udah harike 4,1
Sakit efek vaksin lebih ringan dr pada sakit kena covid murni,0
"3 hari aku pusing gak ilang ilang ,
apa lagi pas vaksin tekanan ku tinggi",0
apa benar penganten baru pengen cpat punya ank..gra2 di paksin jdi tlat hamil..cari solusi gues,1
Vaksin efek nya demam kaku semua badan pusing tepar malam nya lngs ke igd hadeh,0
Wah ak vaksin sinovac Aman aman ja umur 16th hari ini besok blh gk ya langsung olahraga,0
"Malam,setelah vaksin pertama teman saya setelah 4 hari baru ngerasain panas tinggi kadang langsung dinggin.cara nyembuhin demam dingin nya pakai apa,🙏🙏🙏.minta solusinya biar cepat sehat kembali",0
"Efek samping yg saya rasakan badan pegal"" , lemas, pusing , panas dingin, 🤒😷",1
Pendusta....bukti nya banyak nakes yg terpapar dan meninggal...,1
"Banyak yg mati sehabis vaksin, aman kah?",1
Alhamdulillah setelah 2 x divaksin saya tidak merasakan efek samping apa2,1
2 hari stlh vaksin demam badan ngilu apa normal ya tp nafsu makan meningkat,0
"Sama, hbs vaksin Astrazeneca, langsung ngilu dan demam",0
Persis kayak mamakku tapi malah demam udh 9 hari belum sembuh,0
"Suami saya abis vaksin besok paginya sakit perut bagian bawah, blom pernah sakit ky gitu, bkn mules. da yg ngerasain seperti itu g ya? Jd parno",1
Saya dari Sulawesi tadi barusan hbs sunti Alhamdulillah tdk ada yg di rasakan hanya pasca 30 menit setelah Injeksi agak ngantuk tp krn ada kebutuhan di Mall jd hilang kantuknya Alhamsulillah,1
Tapi kok suami sy sakitnya kok udah 1 minggu lebh nggak kunjung sembh badan malh bertambh sakit semua,1
Kalo saya sih abis vaksin bawaannya ngantuk parah terus dibekas suntikan itu nyeri smpai 2 hari,0
Ini berita 6 bulan yg lalu...hallo kompas tv ...berarti mlonjak nya kasus covids di Indonesia ...itu di sebabkan karna vaksin...karna vaksin membuat orang yg di vaksin terpapar&menularkan ke anggota keluwarga nya ....,0
