komentar,label
KUMAHASIAWEPRESIDENGOBLOG. BIAYAAN RAKYAT LAIN MENTINGKEUN SORANGAN GOBLOG.,1
"SELAMAT YAH YANG KEMARIN AMBISI 2PERIODE !
WELCOME TO NEW WORLD ORDER! silahkan menikmati!",1
"Silakan PPKM berjilid, berlanjut, tapi tutup juga tagihan BANK, PLN, dan PDAM, urusan perut biar kami usahakan sendiri..",1
RS harus disiapkan agar pasien Covid 19 dapat tertolong jangan sampai ditolak orang yg butuh berobat.,0
"Wis wis angeeelll iki!
Btw hati-hati ya buat semua, biasanya abis ppkm gini kriminal kyk begal dan curanmor marak. Perketat penjagaan rumah dan jangan keluyuran malam dulu.",1
"Proyek pengurangan penduduk beneran ini. Sengaja biar mati kelaparan, bansos abal"" gak merata. SADISSS",1
INFO JUAL-BELI TUYUL DONG NGAB! UDAH BINGUNG NIH MAU CARI UANG KEMANA LAGI..,1
"Sudah 2 Kali waktu perpanjang, habis ini Adu pinalti….",1
"Buat temen sekolahan yang nonton video ini buat ngerjain tugas, Salam.

~ Muntilan, 26 Juli 2021",1
"Oalah pak .Dagang sepi, baru laku 3 porsi udah di samperin polpp 😢, bansos ga dapet, cicilan Bri msh lama, andai saja aku jadi rafatar.",1
"Sudah kudugem bakal di perpanjang 🤣🤣🤣 , ajor ajor nak ngene iki",1
Allhamdulillah duso e wong sak indonesia onok sing nangung .wes trusno wes karep2 mu kenal ae ora ...,1
Kerja di liburin uang pun tinggal 3 lembar di pikir cuma sampe tanggal 25..udah seneng banget mau kerja..malah gajadii .. Orang tua adik adik pada sakit termasuk saya..sedih yahhh... Minta doa nya yaa teman teman untuk kesembuhan keluarga sayaa... Untuk kalian semua jaga kesehatan..,1
"Lebih Baik Rakyatmu Matika Semua Pak Pasti Hilang Virusnya ,  Daripada mematikan rakyatmu secara pelahan, kasihan yang ekonominya rendah 😪😑",1
Raja pengobral janji manis. The king of lip service,1
"Bagaimana nasib para fotografer wedding yang masih kecil begini? Kalau dippkm, weddingan mundur, mau daftar bantuan umkm juga ditolak. Njuk kudu pie? Butuhe solusi bukan ppkm dowo""",1
"Ya Allah ngojol sepi bgt pak , ga cukup buat makan anak istri",1
"Sebenarnya masyarakat kecil spt sy sdh teriak, sekarang yg dikawatir kan hari esok gk bisa makan....smg Indonesia ke depan nya lebih makmur tdk kekurangan sandang pangan",0
PEMERINTAHAN NEGARA MACAM APA YG TEGA MENYENGSARAKAN RAKYATNYA SENDIRI???!!!,0
SIAPA YANG HADIR KE BERITA INI HANYA MAU LIHAT DAN BACA KOMENAN DOANG☝️,1
"BuzzerRp mana oy? Liat itu dislikenya bnyk, selisih 1k dgn likenya. Kerjaan itu sikat kasi like yg bnyk!",0
"Ud ceptan deh selesai ni jabatan ..
 Pusing, di blg tegas jug kurg tegas nanggung",1
