komentar,label
kumahasiawepresidengoblog biayaan rakyat lain mentingkeun sorangan goblog,1
selamat yah yang kemarin ambisi periode  welcome to new world order silahkan menikmati,1
silakan ppkm berjilid berlanjut tutup tagihan bank pln pdam urusan perut biar usahakan sendiri,1
rs disiapkan pasien covid tertolong ditolak orang yg butuh berobat,0
wis wis angeeelll iki btw hatihati ya semua abis ppkm gini kriminal kyk begal curanmor marak perketat penjagaan rumah keluyuran malam dulu,1
proyek pengurangan penduduk beneran ini sengaja biar mati kelaparan bansos abal gak merata sadisss,1
info jualbeli tuyul dong ngab udah bingung nih mau cari uang kemana lagi,1
sudah kali perpanjang habis adu pinalti,1
buat temen sekolahan nonton video ngerjain tugas salam  muntilan juli,1
oalah sepi laku porsi udah samperin polpp  bansos ga dapet cicilan bri msh lama andai rafatar,1
sudah kudugem perpanjang   ajor ajor nak ngene iki,1
allhamdulillah duso e sak indonesia onok sing nangung trusno wes karep mu kenal ae ora,1
kerja liburin uang tinggal lembar pikir sampe tanggal seneng banget kerja gajadii orang tua adik adik sakit saya yahhh minta doa nya yaa teman teman kesembuhan keluarga sayaa untuk jaga kesehatan,1
lebih baik rakyatmu matika semua pak pasti hilang virusnya  daripada mematikan rakyatmu pelahan kasihan ekonominya rendah ,1
raja pengobral janji manis the king of lip service,1
bagaimana nasib fotografer wedding begini kalau dippkm weddingan mundur daftar bantuan umkm ditolak njuk kudu pie butuhe solusi ppkm dowo,1
ya allah ngojol sepi bgt  ga makan anak istri,1
sebenarnya masyarakat spt sy sdh teriak yg dikawatir esok gk makan indonesia nya makmur tdk kekurangan sandang pangan,0
pemerintahan negara macam apa yg tega menyengsarakan rakyatnya sendiri,0
siapa yang hadir ke berita ini hanya mau lihat dan baca komenan doang,1
buzzerrp oy liat dislikenya bnyk selisih k dgn likenya kerjaan sikat kasi like yg bnyk,0
ud ceptan deh selesai ni jabatan pusing blg jug kurg nanggung,1
ngrungkone ae wtengku kaliren tpi renek seng badog,1
silahkan perpanjang yg penting rakyat indonesia tidak ada yg kelaparan ,0
like yang cuma bisa pasrah nasib rakyat sengsara pak prihatin korban covid tapi sdh sebulan ga kerja bagaimana bertahan,1
kirain utang doang yg dicicil ppkm jga nyicill ekwwkk,0
ppkm gk perubahan tetep aja yg tmbh parah ekonomi raykat pemerintah buta ppkm lv klu gk solusi tetep gk perubahan,0
klk ppkm gmn pak gw pulang kampung orang tua ku sakit kampung,1
ntr jg hbs ppkm level jd ppkm darurat lgpasti blgnya kasusnya melonjak,1
semoga yg adil ganjaran yg baik yg dzolim keadilan allah,0
bijaklah berkomentar  greget gimana ,1
kelapa kena ibasnyah baru beli langsung yg curi gara susah cari ,0
oowh diperpanjang lagi udah kuduga sih kumaha sia wae bosen aing ngadengena,1
gk musibah menimpah rezim yg zholim,0
lama aturan mpcl  menentang pemerintah ciduk langsung,1
waduuuh level besok level brp pkini aj rakyat sdh hancur palagi level smakin pedaaaas,1
pokoknya varian teruuuss tenaga kerja chinapun masuk terus,1
apapun upaya yg pemerintah ttp buruknya berbeda efek dampak orang berdoa ajalah allah  semoga covid musnah d muka bumi,0
tnggl byr kontrakandah hri g kerjasumpah benci bngt keaadaan seprti inicmn freleance kerjaku ga kejangkau orang seprti sayabantuan jg ga dpt,1
kayaknya ppkm hampir sinetron ikatan cinta bersambung,1
turun aja klo ga becus ngurus negarabosen rakyat,1
ppkm level aja udah pedes bgt pagmn yg level,0
pekerjaan sulit buzer balas komen pembelaan,1
angsuran jln pekerjaan gk ad  cari dwet susah,0
cuma bilang terserah  binggung rakyat  udah aturan,1
wadooohhh tanggung bener ppkm dikit dicicil kayak tagihan aja wooyyy tanggungggg sklian akir gitu loo ,1
tingkat kan isu covit terus di perpanjang tol cipali,1
selamat suksesnya pekerja sengsara arahanmu sesuai kaadaan lapangan,1
ngomong sih mudah pelaksanaan nya susah pak,1
ntar diperpanjang lagi dicicil ya biar gak ribut pinteeer ngakalinnya,1
ya allah mau sampe gini terus udah lelah,1
mudahan alloh cepat menurunkan ajab mu ya allooh siksa hidup,1
kalau orang jawabhs jawa  koyo iyo iyoo neng ngomong realisasinya rakyat sengsara,1
rakyat manut  nurut mati bergerak mati lebih bergerak sudah muak,1
mumet mumet temen revormasi aja turunkan ajah persiden lawan aja pemerintah lama muak juga,1
stop bansos stop dana covid insyaallah negara normal,1
kita di batasi oleh ppkm sementara tka bebas keluar masuk di negeri ini aneh,1
kurang edan kumaha aing duit teu gableg jalan sekatan bansos te menanggawe henteu,1
ppkm ndak pak tidak usah ada penyekatan jalan,1
saya membaca komentar ora urusan ppkm blas tolong penguasa telinga matanya buka yang lebarnya,1
silahkan yg order aluminium kaca d japri,0
katanya bebas covid diperpanjang agustus ngelawak pak,1
terserah dialah kaya teriakk prokes miskin teriakk kelaparan,1
bingung pak saya janda usaha nerima jahitan semenjak pandemi usaha ancur bansos ga dapat anak biaya mau kaya gini ,1
semoga bangsa indonesia dibebaskan pandemi covid optimis aamiin,1
rakyat kecl bs pasrah menunggu ajal,1
tolong dong tagihan listrik pdam bank atau tagihan tagihan yang lain di tangguh kan sementara oleh pemerintah selama ppkm,1
bantuannya mana woy situ pemerintah gak mikir rakyat,1
ppkm seumur hidup gapapa pak kasih makan rata,1
ya kan siap pak siap level  kabar bantuannya bikin ngilerr,1
pak sy rakyat kecil saran sya bikin uu korupsi d hukum mati insya allah negri makmur,1
