komentar,label
yg nonton vaksin malamnya panas dingin vaksin,0
belum menemukan komen yg sifatnya positif setelah vaksin kuat,1
saya sdh  mlm demam divacin kau blg cm jam saja mengada ngada kau,0
suamiku demamnya dah malam lom berhenti paksin  anehnya demamnya malam aja,1
kirain gw stlh dvaksin badan jd strong kebal trhadap penyakitini kpala jd pusing meriang pegel gk ilangvaksin orang tdinya sehat jd sakit ksononya mampus,1
setelah vaksin sy positif covid t,0
orang vaksin ko nafsu makan gua ga nafsu,0
saya nyeri otot tangan kanankiri vaksin sampai semingguan,0
trnyata nyeri smpk demam loyo yg rasakan stlh kmbli normal smpk harian,1
saya abis vaksin kepala ngantuk berat ditidurin bangun langsung seger,0
saya minggu suntik paksin pinggang sakit,1
saya hbs vaksin stlah vaksin lgsg demam panaspusing nyeri sakit badan lemas mual uda  jd g kerja kl skit bgini,0
saya alhamdulillah lemas pasca vaksin yg lalu semoga yg besok lemas aamiin,1
klo orng yg tidak tau riwayat penyakit nya yg rasakn kepalaenta sakit medisato bnyak pikiran  apak vaksin,1
kalo sakit nya sampe berhari kenape ye,1
ternyata emang efek sampingnya kemaren habis vaksin malamnya jam stelah vaksin gejala mulai dan parah dan udah mendingan demam pusing lemes tp kemaren ortu habis vaksin gk gejala,0
saya habis vaksin langsung panas dingin selama badan lemah dah minggu stlh vaksin blm napsu makan,0
saya udah ni ngilu demam lokasi batam,0
yg udh sembuh demam sembuh nya pke obt ,1
abis paksin deman meriang pala gw berat bgt sakit moga besok sembuh aamiin,1
setelah vaksin nyapu nyapu nguras kolam sorenya pusing demam g tau kalo disuruh istirahat vaksin,0
demam nya yaa normal vaksin ayah mengalami nya,0
swami vaksin seminggu yg lali msh demam n badan ga enak,1
sy sdh vaksin minggu tulang d punggung msh skt n sblmny demam,0
aku ngrasain panas dingin flu jg badan ngilu udah harike,1
sakit efek vaksin ringan dr sakit kena covid murni,0
pusing gak ilang ilang  pas vaksin tekanan ku,0
penganten pengen cpat ank paksin jdi tlat hamil solusi gues,1
vaksin efek nya demam kaku badan pusing tepar malam nya lngs igd hadeh,0
wah ak vaksin sinovac aman aman ja umur th besok blh gk ya langsung olahraga,0
malamsetelah vaksin teman ngerasain panas kadang langsung dinggin nyembuhin demam dingin nya pakai apa solusinya biar cepat sehat,0
efek samping yg rasakan badan pegal  lemas pusing  panas dingin ,1
pendusta nya nakes yg terpapar meninggal,1
banyak yg mati sehabis vaksin aman kah,1
alhamdulillah x divaksin merasakan efek samping apa,1
stlh vaksin demam badan ngilu normal ya tp nafsu makan meningkat,0
sama hbs vaksin astrazeneca langsung ngilu demam,0
persis kayak mamakku demam udh sembuh,0
suami abis vaksin besok paginya sakit perut bawah blom sakit ky gitu bkn mules da yg ngerasain g ya jd parno,1
saya sulawesi barusan hbs sunti alhamdulillah tdk yg rasakan pasca menit injeksi ngantuk tp krn kebutuhan mall jd hilang kantuknya alhamsulillah,1
tapi suami sy sakitnya udah minggu lebh nggak kunjung sembh badan malh bertambh sakit,1
kalo sih abis vaksin bawaannya ngantuk parah dibekas suntikan nyeri smpai,0
ini berita yg lalu kompas tv mlonjak nya covids indonesia sebabkan karna vaksin vaksin orang yg vaksin terpaparmenularkan anggota keluwarga nya,0
vasin sabtu kamis madih meriang kayak sakit typus aktivitas gk biasa sdh pulih ya mkn pahit kayak habis sakit berusaha makan sm ngantuk sm lemes,1
vaksin meriang kepala berat trus pagi nya mendingan eh sorenya meriang lagi ngk gw vaksin lagi keluarga yg belom vaksin nyangka gw kena covid,0
mungkin tergantung daya tahan tubuh efek vaksin berpengaruh habis vaksin nga pusingdemam aja dokter nya dalem nyuntij vaksin nyahabis nga sakit,0
abis paksin ko meriang sesek napas kenapah y,1
gua gabisa tidur karna si vaksinrasanya panas dingin pegelpegel gitu gua penyakit gatal ampundah komplit bnged,1
aduh sy nga vaksin lagi deman badan pegal smua sy nga kuat,0
saya abis vaksin pertamapertama pegal z d lengan yg d suntikstelah lutut kaki sakit sbelah tp ga bengkak sakit z udh blm jg sembuhitu gmn ya barang kali yg ngalamin yg sama,1
tetangga abis vaksin yakan beraktifitas rumah eehh batuk panas demam dibiarin demam eehh kena korona divaksin,0
terus yg meninggal dunia sehari vaksin gejalanya ringan normal trus knp yg meninggal dunia,1
terima kasih negara vaksinasi gratis rakyat menyianyiakan perjuangan nakes dikarantina rs si pasien sendiri apalah efek samping nyeri demam sehari anak sehabis vaksin dibanding pengorbanan nakes gugur semoga sehat selalu,0
efek vaksin ngantuk berat sampek harivaksin ngantuk pusingdan linu,0
aku bru vaksin kemarin yg dirasain kpala pusing mriangkaki kyk semutan nyeri kaki berat smpe skrng kaki msih berat rasain gini juga,1
saya pegel dikit  demam sebentar aja,1
alhamdulillah habis divaksin sehat yg bersin pilek gk pernh pilek hbs divaksin gk panas ngantuk sih,1
hari habis vaksin jam pagi tidur sampe sore bangun badan kaya masuk angin lemes kepala pening gitu semoga cepet normal badan nya,0
ya udah jgn d vaksin lg doa ja kp allah mungkin manusia lg d uji,0
kmren saya habis vaksin nyilu badan dn ng tidur menggigil kepala sakit skrang,0
